Time_number,Date,Agric,Food ,FabPr,Mach ,ElcEq,Autos,Guns ,Gold ,Mines,Coal 
68,04/10/1963,0.00059982,-0.001300846,0.001798382,-0.00471108,-0.002102208,-0.002904213,-0.002803927,0.002297359,0.004390348,0.004191205
69,07/10/1963,0.000299955,0.003095205,-0.016535969,-0.001400981,0.017741681,0.008265744,-0.002803927,0.00019998,0.000699755,0.013705647
70,08/10/1963,-0.004510155,0.00039992,0.00019998,-0.001601281,-0.007427516,-0.005816885,0.008563231,-0.004510155,-0.013591954,0.005683816
71,09/10/1963,0,-0.004811557,0.005385472,0.004987542,0.003992021,0.001099395,-0.004510155,0.003693172,0.00019998,-0.004309272
72,10/10/1963,-0.006420568,0.003892415,0.004987542,0.00548493,0.007174204,-0.0010005,0.002097798,-0.001601281,0.013014937,0.002297359
73,11/10/1963,0.00019998,0.001399021,-0.003807238,-0.000900405,-0.003405793,-0.001501126,-0.007024615,-0.0010005,0.004290781,0.004290781
74,14/10/1963,0.001598721,0.001199281,-0.013389237,0.00059982,-0.010454458,-0.002402885,-0.001100605,-0.006521217,0.003892415,-0.007226045
75,15/10/1963,-0.002904213,0.001399021,0.01232375,0.003493889,0.008166563,0.015676479,-0.001100605,0.001598721,0.011632084,0.009257021
76,16/10/1963,0.006478966,0.003095205,0.002596626,0.003493889,0.001099395,9.9995E-05,0.003294567,0.00039992,0.017643435,0.005186527
77,17/10/1963,-0.001400981,0.00249688,0.010148331,-0.000500125,-0.003706862,-0.000700245,0.004390348,-0.005917474,0.007868958,0.010148331
78,18/10/1963,0.00079968,0.000699755,-0.006319929,0.00039992,-0.007326775,-0.003807238,-0.002002003,-0.013186562,0.002895803,0.002895803
79,21/10/1963,-0.00040008,-0.003104815,0.004589452,-0.005012542,-0.020508877,-0.004409708,-0.007427516,0.003394233,-0.004008021,0.0009995
80,22/10/1963,-0.002102208,0.001798382,0.029170377,0.004390348,0.004489905,-0.004409708,-0.000700245,-0.00060018,-0.006319929,0.001798382
81,23/10/1963,-0.008838949,0.00059982,-0.008838949,0.007472015,0.001698557,0.019998687,0.010544214,-0.001300846,-0.004912044,0.020292703
82,24/10/1963,0.004589452,0.001598721,0.008067371,0.004888034,0.002596626,0.039989648,0.006578315,-0.00020002,0.000699755,-0.004510155
83,25/10/1963,0.008364916,0.003892415,0.001798382,0.00548493,-0.0010005,0.023325825,-0.012072581,0.004290781,0.005882663,0.008860628
84,28/10/1963,0,0.000899595,0.003095205,0.0009995,-0.00793137,0.011730923,-0.002803927,-0.000500125,0.004290781,-0.005816885
85,29/10/1963,0,-0.002603386,-0.022756987,-0.006118681,-0.006621876,-0.0216323,0.004688989,-0.002703652,-0.01065658,-0.009040745
86,30/10/1963,-0.009444459,0.000899595,0.001399021,0.001199281,-0.003606496,0.002596626,0.021370026,0.005683816,-0.013389237,0.00548493
87,31/10/1963,-0.002603386,0.004987542,0.004191205,0.001698557,-0.002202424,-0.006521217,0.008166563,-0.001801622,0.01133551,0.001798382
